Rank,Name,website,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2024 (€),Revenue 2021 (€),Employees 2024,Employees 2021,Founding year,linkedin_company_profile
362,Cansativa Group,cansativa.de,Germany,Chemicals,259.4,53.2,"35,156,731","9,783,344",52,16,2017,
742,Fermentalg,fermentalg.com,France,Chemicals,103.6,26.7,"11,496,884","5,646,991",62,64,2009,
990,Hammonia Oleo,hammonia-oleo.com,Germany,Chemicals,61.2,17.3,"20,589,299","12,771,405",15,10,2017,https://de.linkedin.com/company/hammonia-oleochemicals-gmbh
899,Labmix24,labmix24.com,Germany,Chemicals,75.4,20.6,"10,266,000","5,853,000",25,20,2014,https://www.linkedin.com/company/labmix24/
856,PharmaSGP,pharmasgp.com,Germany,Chemicals,81.9,22.1,"118,837,000","65,344,000",104,75,2009,
584,3D Modular,3dmodular.com,Spain,Construction & Engineering,150.6,35.8,"2,808,089","1,120,450",14,5,2020,
633,Accaeffe Building Solutions,accaeffe.it,Italy,Construction & Engineering,129.3,31.9,"7,420,807","3,237,045",21,12,2012,
563,Aep Global,aep-global.com,UK,Construction & Engineering,156.8,36.9,"5,731,666","2,202,859",4,0,2019,https://uk.linkedin.com/company/aep-global
588,Amexbois,amexbois.fr,France,Construction & Engineering,148.1,35.4,"7,324,755","2,952,160",44,15,2007,https://www.linkedin.com/company/amexbois
983,Appkeep,appkeep.it,Italy,Construction & Engineering,61.6,17.4,"3,887,705","2,405,130",16,18,2016,
773,Archiplan,archiplan-srl.it,Italy,Construction & Engineering,97.9,25.5,"6,602,538","3,337,095",16,11,1996,
963,Artec Electro,artec-groupe.eu,France,Construction & Engineering,64.6,18.1,"6,391,187","3,883,777",32,23,2008,https://www.linkedin.com/company/artec-energie
490,Betsa,betsa.de,Germany,Construction & Engineering,185.7,41.9,"2,441,314","854,504",15,5,2020,https://uk.linkedin.com/company/besa-group
258,Boetker Metall + Glas,boetker.de,Germany,Construction & Engineering,360.3,66.4,"13,352,727","2,900,918",47,43,2017,https://de.linkedin.com/company/boetker-metall-glas-gmbh-co-kg
988,Celfy,celfy.fr,France,Construction & Engineering,61.4,17.3,"40,448,838","25,065,282",265,175,1965,https://fr.linkedin.com/company/celfy
842,CLM Fireproofing,clmfireproofing.com,UK,Construction & Engineering,85.2,22.8,"33,106,921","17,638,676",60,30,2002,https://uk.linkedin.com/company/clm-fireproofing
891,Codenor,codenor.net,Spain,Construction & Engineering,76.2,20.8,"16,320,652","9,262,087",25,23,2010,
721,Concept Surmesure,sicep.fr,France,Construction & Engineering,107,27.5,"3,220,255","1,555,610",2,2,2012,https://www.linkedin.com/company/concept-&-structure
403,Consorzio Agoraa,agoraa.it,Italy,Construction & Engineering,230.9,49,"56,261,378","17,003,819",29,17,2011,
